Orlando International Airport,Richmond International Airport,1073.107228
Orlando International Airport,Stewart International Airport,1591.24436
Orlando International Airport,Syracuse Hancock International Airport,1694.681633
Louis Armstrong New Orleans International Airport,General Edward Lawrence Logan International Airport,2200.843413
Louis Armstrong New Orleans International Airport,John F Kennedy International Airport,1902.460901
Metropolitan Oakland International Airport,John F Kennedy International Airport,4145.205723
Metropolitan Oakland International Airport,Long Beach /Daugherty Field/ Airport,568.1748486
Chicago O'Hare International Airport,General Edward Lawrence Logan International Airport,1394.737448
Chicago O'Hare International Airport,John F Kennedy International Airport,1190.833656
Worcester Regional Airport,Fort Lauderdale Hollywood International Airport,1949.36169
Worcester Regional Airport,Orlando International Airport,1755.805349
Palm Beach International Airport,Bradley International Airport,1822.810078
Palm Beach International Airport,General Edward Lawrence Logan International Airport,1926.569054
Palm Beach International Airport,Newark Liberty International Airport,1647.116256
Palm Beach International Airport,Westchester County Airport,1700.125711
Palm Beach International Airport,John F Kennedy International Airport,1653.967458
Palm Beach International Airport,La Guardia Airport,1665.077917
Portland International Airport,General Edward Lawrence Logan International Airport,4083.353827
Portland International Airport,General Edward Lawrence Logan International Airport,4083.353827
Portland International Airport,John F Kennedy International Airport,3949.167712
Portland International Airport,John F Kennedy International Airport,3949.167712
Portland International Airport,Long Beach /Daugherty Field/ Airport,1360.827535
Portland International Airport,Long Beach /Daugherty Field/ Airport,1360.827535
Philadelphia International Airport,General Edward Lawrence Logan International Airport,450.6488368
Phoenix Sky Harbor International Airport,General Edward Lawrence Logan International Airport,3701.461697
Phoenix Sky Harbor International Airport,John F Kennedy International Airport,3465.401798
Pittsburgh International Airport,General Edward Lawrence Logan International Airport,798.4199558
Theodore Francis Green State Airport,Fort Lauderdale Hollywood International Airport,1913.026293
Theodore Francis Green State Airport,Orlando International Airport,1726.794361
Portland International Jetport Airport,John F Kennedy International Airport,440.1146377
Portland International Jetport Airport,John F Kennedy International Airport,440.1146377
Raleigh Durham International Airport,General Edward Lawrence Logan International Airport,984.7898588
Raleigh Durham International Airport,Fort Lauderdale Hollywood International Airport,1094.83933
Raleigh Durham International Airport,John F Kennedy International Airport,686.4632011
Richmond International Airport,General Edward Lawrence Logan International Airport,762.7133765
Richmond International Airport,Fort Lauderdale Hollywood International Airport,1295.584131
Richmond International Airport,Orlando International Airport,1073.107228
Greater Rochester International Airport,John F Kennedy International Airport,424.4972159
Greater Rochester International Airport,John F Kennedy International Airport,424.4972159
Southwest Florida International Airport,General Edward Lawrence Logan International Airport,2010.71111
Southwest Florida International Airport,Newark Liberty International Airport,1719.018098
Southwest Florida International Airport,Westchester County Airport,1773.652121
Southwest Florida International Airport,John F Kennedy International Airport,1728.767724
Southwest Florida International Airport,La Guardia Airport,1738.672937
San Diego International Airport,General Edward Lawrence Logan International Airport,4164.546807
San Diego International Airport,John F Kennedy International Airport,3936.28171
Savannah Hilton Head International Airport,General Edward Lawrence Logan International Airport,1449.986645
Savannah Hilton Head International Airport,John F Kennedy International Airport,1154.756806
Seattle Tacoma International Airport,General Edward Lawrence Logan International Airport,4016.414726
Seattle Tacoma International Airport,John F Kennedy International Airport,3896.768076
Seattle Tacoma International Airport,Long Beach /Daugherty Field/ Airport,1553.42719
San Francisco International Airport,Austin Bergstrom International Airport,2419.939097
San Francisco International Airport,General Edward Lawrence Logan International Airport,4351.855781
San Francisco International Airport,Fort Lauderdale Hollywood International Airport,4157.426302
San Francisco International Airport,John F Kennedy International Airport,4161.868164
San Francisco International Airport,Long Beach /Daugherty Field/ Airport,568.9800724
Norman Y. Mineta San Jose International Airport,General Edward Lawrence Logan International Airport,4327.158423
Norman Y. Mineta San Jose International Airport,John F Kennedy International Airport,4134.747423
Salt Lake City International Airport,John F Kennedy International Airport,3201.73965
Salt Lake City International Airport,Long Beach /Daugherty Field/ Airport,947.1016049
Sacramento International Airport,John F Kennedy International Airport,4057.336061
Sacramento International Airport,Long Beach /Daugherty Field/ Airport,623.1461791
Sarasota Bradenton International Airport,John F Kennedy International Airport,1675.705479
Sarasota Bradenton International Airport,La Guardia Airport,1684.658303
Stewart International Airport,Fort Lauderdale Hollywood International Airport,1799.729041
Stewart International Airport,Orlando International Airport,1591.24436
Syracuse Hancock International Airport,John F Kennedy International Airport,335.6418936
Syracuse Hancock International Airport,Orlando International Airport,1694.681633
Tampa International Airport,Bradley International Airport,1788.459466
Tampa International Airport,General Edward Lawrence Logan International Airport,1906.718739
Tampa International Airport,Ronald Reagan Washington National Airport,1309.470172
Tampa International Airport,Newark Liberty International Airport,1605.097706
Tampa International Airport,Westchester County Airport,1660.851769
Tampa International Airport,John F Kennedy International Airport,1617.468545
Tampa International Airport,La Guardia Airport,1626.177107
Hartsfield Jackson Atlanta International Airport,Dallas Fort Worth International Airport,1177.006575
Hartsfield Jackson Atlanta International Airport,Miami International Airport,956.9183918
Hartsfield Jackson Atlanta International Airport,Chicago O'Hare International Airport,974.9571338
Dallas Fort Worth International Airport,Hartsfield Jackson Atlanta International Airport,1177.006575
Dallas Fort Worth International Airport,Louis Armstrong New Orleans International Airport,720.195795
Miami International Airport,Hartsfield Jackson Atlanta International Airport,956.9183918
Miami International Airport,Louis Armstrong New Orleans International Airport,1085.552033
Louis Armstrong New Orleans International Airport,Dallas Fort Worth International Airport,720.195795
Louis Armstrong New Orleans International Airport,Miami International Airport,1085.552033
Louis Armstrong New Orleans International Airport,Chicago O'Hare International Airport,1346.544299
Chicago O'Hare International Airport,Hartsfield Jackson Atlanta International Airport,974.9571338
Chicago O'Hare International Airport,Louis Armstrong New Orleans International Airport,1346.544299
Hartsfield Jackson Atlanta International Airport,George Bush Intercontinental Houston Airport,1109.114836
George Bush Intercontinental Houston Airport,Hartsfield Jackson Atlanta International Airport,1109.114836
Hartsfield Jackson Atlanta International Airport,Dallas Fort Worth International Airport,1177.006575
Hartsfield Jackson Atlanta International Airport,Los Angeles International Airport,3132.519452
Hartsfield Jackson Atlanta International Airport,San Francisco International Airport,3442.220346
George Bush Intercontinental Houston Airport,Hartsfield Jackson Atlanta International Airport,1109.114836
Los Angeles International Airport,Hartsfield Jackson Atlanta International Airport,3132.519452
Los Angeles International Airport,Louis Armstrong New Orleans International Airport,2688.036203
Louis Armstrong New Orleans International Airport,Los Angeles International Airport,2688.036203
San Francisco International Airport,Hartsfield Jackson Atlanta International Airport,3442.220346
George Bush Intercontinental Houston Airport,San Francisco International Airport,2631.585854
Seattle Tacoma International Airport,George Bush Intercontinental Houston Airport,3015.613768
Hartsfield Jackson Atlanta International Airport,Chicago O'Hare International Airport,974.9571338
Louis Armstrong New Orleans International Airport,Dallas Fort Worth International Airport,720.195795
Chicago O'Hare International Airport,Hartsfield Jackson Atlanta International Airport,974.9571338
Lehigh Valley International Airport,Hartsfield Jackson Atlanta International Airport,1114.031041
Lehigh Valley International Airport,Detroit Metropolitan Wayne County Airport,683.3968112
Albuquerque International Sunport,Hartsfield Jackson Atlanta International Airport,2042.73857
Albuquerque International Sunport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1577.983095
Albuquerque International Sunport,Salt Lake City International Airport,793.3346569
Aberdeen Regional Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,413.5739393
Southwest Georgia Regional Airport,Hartsfield Jackson Atlanta International Airport,234.046768
Southwest Georgia Regional Airport,Hartsfield Jackson Atlanta International Airport,234.046768
Southwest Georgia Regional Airport,Hartsfield Jackson Atlanta International Airport,234.046768
Alexandria International Airport,Hartsfield Jackson Atlanta International Airport,804.9277267
Augusta Regional At Bush Field,Hartsfield Jackson Atlanta International Airport,230.814269
Albany International Airport,Hartsfield Jackson Atlanta International Airport,1372.335672
Albany International Airport,Hartsfield Jackson Atlanta International Airport,1372.335672
Albany International Airport,Hartsfield Jackson Atlanta International Airport,1372.335672
Albany International Airport,Detroit Metropolitan Wayne County Airport,787.2150588
Albany International Airport,Detroit Metropolitan Wayne County Airport,787.2150588
Albany International Airport,Detroit Metropolitan Wayne County Airport,787.2150588
Albany International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1576.423863
Albany International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1576.423863
Albany International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1576.423863
Ted Stevens Anchorage International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,4053.081146
Ted Stevens Anchorage International Airport,Seattle Tacoma International Airport,2331.055164
Ted Stevens Anchorage International Airport,Salt Lake City International Airport,3419.550206
Alpena County Regional Airport,Detroit Metropolitan Wayne County Airport,318.8314936
Alpena County Regional Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,761.9015314
Hartsfield Jackson Atlanta International Airport,Lehigh Valley International Airport,1114.031041
Hartsfield Jackson Atlanta International Airport,Albuquerque International Sunport,2042.73857
Hartsfield Jackson Atlanta International Airport,Southwest Georgia Regional Airport,234.046768
Hartsfield Jackson Atlanta International Airport,Southwest Georgia Regional Airport,234.046768
Hartsfield Jackson Atlanta International Airport,Southwest Georgia Regional Airport,234.046768
Hartsfield Jackson Atlanta International Airport,Alexandria International Airport,804.9277267
Hartsfield Jackson Atlanta International Airport,Augusta Regional At Bush Field,230.814269
Hartsfield Jackson Atlanta International Airport,Albany International Airport,1372.335672
Hartsfield Jackson Atlanta International Airport,Albany International Airport,1372.335672
Hartsfield Jackson Atlanta International Airport,Albany International Airport,1372.335672
Hartsfield Jackson Atlanta International Airport,Appleton International Airport,1230.873157
Hartsfield Jackson Atlanta International Airport,Austin Bergstrom International Airport,1308.137161
Hartsfield Jackson Atlanta International Airport,Asheville Regional Airport,264.2487432
Hartsfield Jackson Atlanta International Airport,Wilkes Barre Scranton International Airport,1149.108736
Hartsfield Jackson Atlanta International Airport,Kalamazoo Battle Creek International Airport,959.4385518
Hartsfield Jackson Atlanta International Airport,Bradley International Airport,1383.023547
Hartsfield Jackson Atlanta International Airport,Birmingham-Shuttlesworth International Airport,215.9844711
Hartsfield Jackson Atlanta International Airport,Central Illinois Regional Airport at Bloomington-Normal,857.3725426
Hartsfield Jackson Atlanta International Airport,Central Illinois Regional Airport at Bloomington-Normal,857.3725426
Hartsfield Jackson Atlanta International Airport,Nashville International Airport,344.1925683
Hartsfield Jackson Atlanta International Airport,General Edward Lawrence Logan International Airport,1522.612016
Hartsfield Jackson Atlanta International Airport,Brunswick Golden Isles Airport,383.4824394
Hartsfield Jackson Atlanta International Airport,Baton Rouge Metropolitan Airport,721.6240426
Hartsfield Jackson Atlanta International Airport,Burlington International Airport,1545.875951
Hartsfield Jackson Atlanta International Airport,Burlington International Airport,1545.875951
Hartsfield Jackson Atlanta International Airport,Buffalo Niagara International Airport,1145.964503
Hartsfield Jackson Atlanta International Airport,Baltimore/Washington International Thurgood Marshall Airport,927.8876018
Hartsfield Jackson Atlanta International Airport,Columbia Metropolitan Airport,308.2353922
Hartsfield Jackson Atlanta International Airport,Columbia Metropolitan Airport,308.2353922
Hartsfield Jackson Atlanta International Airport,Akron Canton Regional Airport,850.0298549
Hartsfield Jackson Atlanta International Airport,Lovell Field,170.775357
Hartsfield Jackson Atlanta International Airport,Charlottesville Albemarle Airport,734.9228959
Hartsfield Jackson Atlanta International Airport,Charleston Air Force Base-International Airport,416.8733431
Hartsfield Jackson Atlanta International Airport,Charleston Air Force Base-International Airport,416.8733431
Hartsfield Jackson Atlanta International Airport,The Eastern Iowa Airport,1117.000981
Hartsfield Jackson Atlanta International Airport,Cleveland Hopkins International Airport,892.3961262
Hartsfield Jackson Atlanta International Airport,Cleveland Hopkins International Airport,892.3961262
Hartsfield Jackson Atlanta International Airport,Charlotte Douglas International Airport,364.9812352
Hartsfield Jackson Atlanta International Airport,John Glenn Columbus International Airport,719.0895644
Hartsfield Jackson Atlanta International Airport,John Glenn Columbus International Airport,719.0895644
Hartsfield Jackson Atlanta International Airport,John Glenn Columbus International Airport,719.0895644
Hartsfield Jackson Atlanta International Airport,City of Colorado Springs Municipal Airport,1906.139299
Hartsfield Jackson Atlanta International Airport,Yeager Airport,584.3160959
Hartsfield Jackson Atlanta International Airport,Yeager Airport,584.3160959
Hartsfield Jackson Atlanta International Airport,Columbus Metropolitan Airport,133.0973492
Hartsfield Jackson Atlanta International Airport,Columbus Metropolitan Airport,133.0973492
Hartsfield Jackson Atlanta International Airport,Columbus Metropolitan Airport,133.0973492
Hartsfield Jackson Atlanta International Airport,Cincinnati Northern Kentucky International Airport,600.9418221
Hartsfield Jackson Atlanta International Airport,Daytona Beach International Airport,588.8744906
Hartsfield Jackson Atlanta International Airport,Dallas Love Field,1160.46022
Hartsfield Jackson Atlanta International Airport,James M Cox Dayton International Airport,695.5766636
Hartsfield Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,880.4426978
Hartsfield Jackson Atlanta International Airport,Denver International Airport,1930.017681
Hartsfield Jackson Atlanta International Airport,Dallas Fort Worth International Airport,1177.006575
Hartsfield Jackson Atlanta International Airport,Dothan Regional Airport,274.1279487
Hartsfield Jackson Atlanta International Airport,Des Moines International Airport,1195.884536
Hartsfield Jackson Atlanta International Airport,Detroit Metropolitan Wayne County Airport,956.5183454
Hartsfield Jackson Atlanta International Airport,Northwest Florida Beaches International Airport,385.9217144
Hartsfield Jackson Atlanta International Airport,El Paso International Airport,2063.785576
Hartsfield Jackson Atlanta International Airport,Evansville Regional Airport,562.9710436
Hartsfield Jackson Atlanta International Airport,Coastal Carolina Regional Airport,697.6736784
Hartsfield Jackson Atlanta International Airport,Newark Liberty International Airport,1199.939916
Hartsfield Jackson Atlanta International Airport,Key West International Airport,1039.331932
Hartsfield Jackson Atlanta International Airport,Hector International Airport,1807.80474
Hartsfield Jackson Atlanta International Airport,Fayetteville Regional Grannis Field,532.1972173
Hartsfield Jackson Atlanta International Airport,Fayetteville Regional Grannis Field,532.1972173
Hartsfield Jackson Atlanta International Airport,Fort Lauderdale Hollywood International Airport,934.4586675
Hartsfield Jackson Atlanta International Airport,Bishop International Airport,1037.23022
Hartsfield Jackson Atlanta International Airport,Joe Foss Field Airport,1535.910948
Hartsfield Jackson Atlanta International Airport,Fort Smith Regional Airport,931.8023637
Hartsfield Jackson Atlanta International Airport,Fort Wayne International Airport,817.6426603
Hartsfield Jackson Atlanta International Airport,Gainesville Regional Airport,482.9896433
Hartsfield Jackson Atlanta International Airport,Gainesville Regional Airport,482.9896433
Hartsfield Jackson Atlanta International Airport,Gulfport Biloxi International Airport,566.0436148
Hartsfield Jackson Atlanta International Airport,Austin Straubel International Airport,1245.870507
Hartsfield Jackson Atlanta International Airport,Robert Gray  Army Air Field Airport,1292.171044
Hartsfield Jackson Atlanta International Airport,Gerald R. Ford International Airport,1030.548601
Hartsfield Jackson Atlanta International Airport,Piedmont Triad International Airport,493.0116741
Hartsfield Jackson Atlanta International Airport,Greenville Spartanburg International Airport,246.766011
Hartsfield Jackson Atlanta International Airport,Greenville Spartanburg International Airport,246.766011
Hartsfield Jackson Atlanta International Airport,Golden Triangle Regional Airport,387.1967217
Hartsfield Jackson Atlanta International Airport,Daniel K Inouye International Airport,7245.753727
Hartsfield Jackson Atlanta International Airport,William P Hobby Airport,1119.609986
Hartsfield Jackson Atlanta International Airport,Westchester County Airport,1256.096992
Hartsfield Jackson Atlanta International Airport,Huntsville International Carl T Jones Field,243.2584121
Hartsfield Jackson Atlanta International Airport,Washington Dulles International Airport,859.2343873
Hartsfield Jackson Atlanta International Airport,George Bush Intercontinental Houston Airport,1109.114836
Hartsfield Jackson Atlanta International Airport,Wichita Eisenhower National Airport,1257.81343
Hartsfield Jackson Atlanta International Airport,Wilmington International Airport,607.1600121
Hartsfield Jackson Atlanta International Airport,Indianapolis International Airport,695.0407045
Hartsfield Jackson Atlanta International Airport,Jackson-Medgar Wiley Evers International Airport,547.9566191
Hartsfield Jackson Atlanta International Airport,Jackson-Medgar Wiley Evers International Airport,547.9566191
Hartsfield Jackson Atlanta International Airport,Jackson-Medgar Wiley Evers International Airport,547.9566191
Hartsfield Jackson Atlanta International Airport,Jacksonville International Airport,433.9881364
Hartsfield Jackson Atlanta International Airport,Jacksonville International Airport,433.9881364
Hartsfield Jackson Atlanta International Airport,John F Kennedy International Airport,1222.839898
Hartsfield Jackson Atlanta International Airport,Capital City Airport,1014.866536
Hartsfield Jackson Atlanta International Airport,McCarran International Airport,2810.925017
Hartsfield Jackson Atlanta International Airport,Los Angeles International Airport,3132.519452
Hartsfield Jackson Atlanta International Airport,Blue Grass Airport,488.4486695
Hartsfield Jackson Atlanta International Airport,Lafayette Regional Airport,809.5463647
Hartsfield Jackson Atlanta International Airport,Lafayette Regional Airport,809.5463647
Hartsfield Jackson Atlanta International Airport,La Guardia Airport,1225.550301
Hartsfield Jackson Atlanta International Airport,Bill & Hillary Clinton National Airport/Adams Field,728.6520434
Hartsfield Jackson Atlanta International Airport,MBS International Airport,1098.976176
Hartsfield Jackson Atlanta International Airport,Kansas City International Airport,1114.397401
Hartsfield Jackson Atlanta International Airport,Orlando International Airport,649.506606
Hartsfield Jackson Atlanta International Airport,Harrisburg International Airport,997.1693767
Hartsfield Jackson Atlanta International Airport,Chicago Midway International Airport,950.5954838
Hartsfield Jackson Atlanta International Airport,Memphis International Airport,533.7486165
Hartsfield Jackson Atlanta International Airport,Montgomery Regional (Dannelly Field) Airport,236.0703439
Hartsfield Jackson Atlanta International Airport,Manchester-Boston Regional Airport,1531.867111
Hartsfield Jackson Atlanta International Airport,Miami International Airport,956.9183918
Hartsfield Jackson Atlanta International Airport,General Mitchell International Airport,1076.837945
Hartsfield Jackson Atlanta International Airport,Melbourne International Airport,712.0877571
Hartsfield Jackson Atlanta International Airport,Quad City International Airport,1019.330729
Hartsfield Jackson Atlanta International Airport,Monroe Regional Airport,721.2562413
Hartsfield Jackson Atlanta International Airport,Monroe Regional Airport,721.2562413
Hartsfield Jackson Atlanta International Airport,Mobile Regional Airport,485.8794066
Hartsfield Jackson Atlanta International Airport,Dane County Regional Truax Field,1138.208696
Hartsfield Jackson Atlanta International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1459.002034
Hartsfield Jackson Atlanta International Airport,Louis Armstrong New Orleans International Airport,683.8121778
Hartsfield Jackson Atlanta International Airport,Myrtle Beach International Airport,510.0861049
Hartsfield Jackson Atlanta International Airport,Albert J Ellis Airport,641.6104795
Hartsfield Jackson Atlanta International Airport,Will Rogers World Airport,1224.187818
Hartsfield Jackson Atlanta International Airport,Eppley Airfield,1321.840676
Hartsfield Jackson Atlanta International Airport,Chicago O'Hare International Airport,974.9571338
Hartsfield Jackson Atlanta International Airport,Norfolk International Airport,830.8569862
Hartsfield Jackson Atlanta International Airport,Palm Beach International Airport,876.3114374
Hartsfield Jackson Atlanta International Airport,Portland International Airport,3495.791991
Hartsfield Jackson Atlanta International Airport,Portland International Airport,3495.791991
Hartsfield Jackson Atlanta International Airport,Newport News Williamsburg International Airport,818.2309281
Hartsfield Jackson Atlanta International Airport,Philadelphia International Airport,1072.147461
Hartsfield Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,2554.546296
Hartsfield Jackson Atlanta International Airport,General Wayne A. Downing Peoria International Airport,908.9815291
Hartsfield Jackson Atlanta International Airport,Pittsburgh International Airport,847.0311816
Hartsfield Jackson Atlanta International Airport,Pensacola Regional Airport,436.8770265
Hartsfield Jackson Atlanta International Airport,Theodore Francis Green State Airport,1454.527729
Hartsfield Jackson Atlanta International Airport,Portland International Jetport Airport,1652.684169
Hartsfield Jackson Atlanta International Airport,Portland International Jetport Airport,1652.684169
Hartsfield Jackson Atlanta International Airport,Raleigh Durham International Airport,573.0221672
Hartsfield Jackson Atlanta International Airport,Richmond International Airport,773.8612557
Hartsfield Jackson Atlanta International Airport,Roanoke__lacksburg Regional Airport,574.9931129
Hartsfield Jackson Atlanta International Airport,Greater Rochester International Airport,1205.780506
Hartsfield Jackson Atlanta International Airport,Greater Rochester International Airport,1205.780506
Hartsfield Jackson Atlanta International Airport,Southwest Florida International Airport,828.1215455
Hartsfield Jackson Atlanta International Airport,San Diego International Airport,3044.12325
Hartsfield Jackson Atlanta International Airport,San Antonio International Airport,1406.844088
Hartsfield Jackson Atlanta International Airport,Savannah Hilton Head International Airport,345.141777
Hartsfield Jackson Atlanta International Airport,South Bend Regional Airport,911.2171089
Hartsfield Jackson Atlanta International Airport,Louisville International Standiford Field,517.130765
Hartsfield Jackson Atlanta International Airport,Seattle Tacoma International Airport,3511.234926
Hartsfield Jackson Atlanta International Airport,San Francisco International Airport,3442.220346
Hartsfield Jackson Atlanta International Airport,Springfield Branson National Airport,906.2152865
Hartsfield Jackson Atlanta International Airport,Springfield Branson National Airport,906.2152865
Hartsfield Jackson Atlanta International Airport,Springfield Branson National Airport,906.2152865
Hartsfield Jackson Atlanta International Airport,Springfield Branson National Airport,906.2152865
Hartsfield Jackson Atlanta International Airport,Shreveport Regional Airport,887.3557775
Hartsfield Jackson Atlanta International Airport,Norman Y. Mineta San Jose International Airport,3405.065182
Hartsfield Jackson Atlanta International Airport,Salt Lake City International Airport,2558.541412
Hartsfield Jackson Atlanta International Airport,Sacramento International Airport,3367.018905
Hartsfield Jackson Atlanta International Airport,John Wayne Airport-Orange County Airport,3087.90072
Hartsfield Jackson Atlanta International Airport,Sarasota Bradenton International Airport,714.8656935
Hartsfield Jackson Atlanta International Airport,St Louis Lambert International Airport,778.9752454
Hartsfield Jackson Atlanta International Airport,Syracuse Hancock International Airport,1277.132043
Hartsfield Jackson Atlanta International Airport,Tallahassee Regional Airport,359.3719766
Hartsfield Jackson Atlanta International Airport,Tampa International Airport,653.2655542
Hartsfield Jackson Atlanta International Airport,Tri-Cities Regional TN/VA Airport,364.8699234
Hartsfield Jackson Atlanta International Airport,Tulsa International Airport,1084.326783
Hartsfield Jackson Atlanta International Airport,Tucson International Airport,2480.12182
Hartsfield Jackson Atlanta International Airport,McGhee Tyson Airport,244.4614718
Hartsfield Jackson Atlanta International Airport,Valdosta Regional Airport,334.5932409
Hartsfield Jackson Atlanta International Airport,Destin-Ft Walton Beach Airport,401.8472682
Hartsfield Jackson Atlanta International Airport,Northwest Arkansas Regional Airport,948.2409701
Appleton International Airport,Hartsfield Jackson Atlanta International Airport,1230.873157
Appleton International Airport,Detroit Metropolitan Wayne County Airport,477.070918
Appleton International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,379.8773063
Austin Bergstrom International Airport,Hartsfield Jackson Atlanta International Airport,1308.137161
Austin Bergstrom International Airport,Detroit Metropolitan Wayne County Airport,1848.541547
Austin Bergstrom International Airport,John F Kennedy International Airport,2448.498975
Austin Bergstrom International Airport,Orlando International Airport,1599.960604
Austin Bergstrom International Airport,Memphis International Airport,899.692859
Austin Bergstrom International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1676.177372
Austin Bergstrom International Airport,Salt Lake City International Airport,1747.003938
Asheville Regional Airport,Hartsfield Jackson Atlanta International Airport,264.2487432
Asheville Regional Airport,Detroit Metropolitan Wayne County Airport,755.5254523
Wilkes Barre Scranton International Airport,Hartsfield Jackson Atlanta International Airport,1149.108736
Wilkes Barre Scranton International Airport,Detroit Metropolitan Wayne County Airport,641.5254798
Kalamazoo Battle Creek International Airport,Hartsfield Jackson Atlanta International Airport,959.4385518
Kalamazoo Battle Creek International Airport,Detroit Metropolitan Wayne County Airport,181.5368756
Kalamazoo Battle Creek International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,685.564905
Bradley International Airport,Hartsfield Jackson Atlanta International Airport,1383.023547
Bradley International Airport,Cincinnati Northern Kentucky International Airport,1064.40781
Bradley International Airport,Detroit Metropolitan Wayne County Airport,882.93261
Bradley International Airport,Orlando International Airport,1690.027684
Bradley International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1690.561605
Bradley International Airport,Raleigh Durham International Airport,855.7133469
Greater Binghamton/Edwin A Link field,Detroit Metropolitan Wayne County Airport,608.7010029
Bangor International Airport,Detroit Metropolitan Wayne County Airport,1207.61896
Bangor International Airport,La Guardia Airport,608.6677069
Birmingham-Shuttlesworth International Airport,Hartsfield Jackson Atlanta International Airport,215.9844711
Birmingham-Shuttlesworth International Airport,Detroit Metropolitan Wayne County Airport,1005.317801
Birmingham-Shuttlesworth International Airport,La Guardia Airport,1393.923419
Birmingham-Shuttlesworth International Airport,Orlando International Airport,770.6456307
Birmingham-Shuttlesworth International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1374.03934
Billings Logan International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1203.296456
Billings Logan International Airport,Salt Lake City International Airport,623.2652458
Bismarck Municipal Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,620.9718745
Bemidji Regional Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,320.5309506
Central Illinois Regional Airport at Bloomington-Normal,Hartsfield Jackson Atlanta International Airport,857.3725426
Central Illinois Regional Airport at Bloomington-Normal,Hartsfield Jackson Atlanta International Airport,857.3725426
Central Illinois Regional Airport at Bloomington-Normal,Detroit Metropolitan Wayne County Airport,503.7402076
Central Illinois Regional Airport at Bloomington-Normal,Detroit Metropolitan Wayne County Airport,503.7402076
Central Illinois Regional Airport at Bloomington-Normal,Minneapolis-St Paul International/Wold-Chamberlain Airport,603.1176219
Central Illinois Regional Airport at Bloomington-Normal,Minneapolis-St Paul International/Wold-Chamberlain Airport,603.1176219
Nashville International Airport,Hartsfield Jackson Atlanta International Airport,344.1925683
Nashville International Airport,Cincinnati Northern Kentucky International Airport,369.9339349
Nashville International Airport,Detroit Metropolitan Wayne County Airport,734.2478934
Nashville International Airport,John F Kennedy International Airport,1231.883924
Nashville International Airport,Los Angeles International Airport,2892.651857
Nashville International Airport,La Guardia Airport,1229.746509
Nashville International Airport,Orlando International Airport,991.5266609
Nashville International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1118.613412
Nashville International Airport,Salt Lake City International Airport,2259.617382
Boise Air Terminal/Gowen Field,Minneapolis-St Paul International/Wold-Chamberlain Airport,1837.546495
Boise Air Terminal/Gowen Field,Salt Lake City International Airport,466.8843647
General Edward Lawrence Logan International Airport,Hartsfield Jackson Atlanta International Airport,1522.612016
General Edward Lawrence Logan International Airport,Charleston Air Force Base-International Airport,1317.311823
General Edward Lawrence Logan International Airport,Charleston Air Force Base-International Airport,1317.311823
General Edward Lawrence Logan International Airport,John Glenn Columbus International Airport,1030.409796
General Edward Lawrence Logan International Airport,John Glenn Columbus International Airport,1030.409796
General Edward Lawrence Logan International Airport,John Glenn Columbus International Airport,1030.409796
General Edward Lawrence Logan International Airport,Cincinnati Northern Kentucky International Airport,1210.263362
General Edward Lawrence Logan International Airport,Detroit Metropolitan Wayne County Airport,1017.670352
General Edward Lawrence Logan International Airport,Indianapolis International Airport,1316.77225
General Edward Lawrence Logan International Airport,Jacksonville International Airport,1625.759578
General Edward Lawrence Logan International Airport,Jacksonville International Airport,1625.759578
General Edward Lawrence Logan International Airport,John F Kennedy International Airport,300.4948944
General Edward Lawrence Logan International Airport,McCarran International Airport,3831.557311
General Edward Lawrence Logan International Airport,Los Angeles International Airport,4202.209711
General Edward Lawrence Logan International Airport,La Guardia Airport,297.0680439
General Edward Lawrence Logan International Airport,Orlando International Airport,1804.114237
General Edward Lawrence Logan International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1808.983025
General Edward Lawrence Logan International Airport,Myrtle Beach International Airport,1187.561853
General Edward Lawrence Logan International Airport,Raleigh Durham International Airport,984.7898588
General Edward Lawrence Logan International Airport,Richmond International Airport,762.7133765
General Edward Lawrence Logan International Airport,Salt Lake City International Airport,3388.300007
Brunswick Golden Isles Airport,Hartsfield Jackson Atlanta International Airport,383.4824394
Brainerd Lakes Regional Airport,Falls International Airport,247.3082388
